Model,TestSeason,N_Games,WinnerAccuracy,MarginMAE,N_TourneyGames,TourneyWinnerAccuracy,TourneyMarginMAE
Oliver Original,2022,4419,0.700837293505318,8.993238250209709,67,0.6119402985074627,11.236560464458897
Oliver Learned,2022,4419,0.7028739533831183,8.999724763527267,67,0.582089552238806,11.214320587018925
Oliver + V3 Residual,2022,4419,0.7028739533831183,9.004022031514891,67,0.5522388059701493,11.21076324917116
Oliver Original,2023,4677,0.6983108830446868,9.221432703673718,67,0.6119402985074627,10.631042172265188
Oliver Learned,2023,4677,0.6978832584990379,9.222973824376941,67,0.582089552238806,10.571984998115568
Oliver + V3 Residual,2023,4677,0.6963865725892666,9.214871734482225,67,0.5970149253731343,10.556671899937058
Oliver Original,2024,4691,0.6985717331059476,9.360816631629957,67,0.6119402985074627,12.636598768258054
Oliver Learned,2024,4691,0.6998507780856961,9.322130278568377,67,0.6119402985074627,12.591418473098638
Oliver + V3 Residual,2024,4691,0.7013429972287358,9.308967460334923,67,0.6417910447761194,12.580446515039492
Oliver Original,2025,4713,0.7033736473583705,9.302278666649308,67,0.7014925373134329,11.523692576830303
Oliver Learned,2025,4713,0.7035858264375132,9.28488179857548,67,0.6417910447761194,11.49786986144533
Oliver + V3 Residual,2025,4713,0.7044345427540845,9.277859532085888,67,0.6268656716417911,11.482658835742567
Oliver Original,2026,4656,0.6913659793814433,9.348761224667596,0,,
Oliver Learned,2026,4656,0.6870704467353952,9.325174202060088,0,,
Oliver + V3 Residual,2026,4656,0.689647766323024,9.320725187538045,0,,
